AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Cheng, Jianfeng; Liu, Yujun	COMPUTERS & MATHEMATICS WITH APPLICATIONS	Anisotropic magneto-micropolar fluid; Global regularity; Cauchy problem	[Cheng, Jianfeng; Liu, Yujun] Sichuan Univ, Dept Math, Chengdu 610064, Peoples R China; [Liu, Yujun] Panzhihua Univ, Dept Math & Comp, Panzhihua 617000, Peoples R China	Liu, YJ (reprint author), Sichuan Univ, Dept Math, Chengdu 610064, Peoples R China.	Sichuan Youth Science Technology Foundation [2014JQ0003]	4	0898-1221	2015	WOS:000356118500004
Zhang, Li-Ping; Zhao, Qian; Luo, Zhong-Cheng; Lei, Yi-Xiong; Wang, Yu; Wang, Pei-Xi	HEALTH AND QUALITY OF LIFE OUTCOMES	Posttraumatic stress disorder; Survivors; Risk factors; Wenchuan earthquake	[Zhang, Li-Ping; Wang, Yu] Panzhihua Univ, Sch Med, Panzhihua, Peoples R China; [Zhang, Li-Ping; Wang, Pei-Xi] Henan Univ, Inst Publ Hlth, Sch Nursing, Kaifeng 475004, HN, Peoples R China; [Zhao, Qian; Lei, Yi-Xiong; Wang, Pei-Xi] Guangzhou Med Univ, Sch Publ Hlth, Guangzhou, Guangdong, Peoples R China; [Luo, Zhong-Cheng] Shanghai Jiao Tong Univ, Xin Hua Hosp, Shanghai Key Lab Childrens Environm Hlth, Minist Educ,Sch Med, Shanghai 200030, Peoples R China	Wang, PX (reprint author), Henan Univ, Inst Publ Hlth, Sch Nursing, Jinming Campus, Kaifeng 475004, HN, Peoples R China.	Panzhihua University; Department of Science and Technology, Henan Province [102102310151]	2	1477-7525	2015	WOS:000355914800002
Tong Yanwei; Gao Jiacheng; Deng Gang; Zhang Xuefeng; Wang Nengwei	RARE METAL MATERIALS AND ENGINEERING	V based hydrogen storage alloy; oxygen content; microstructure; electrochemical property	[Tong Yanwei; Gao Jiacheng] Chongqing Univ, Chongqing 400044, Peoples R China; [Deng Gang; Zhang Xuefeng; Wang Nengwei] Panzhihua Univ, Panzhihua 617000, Peoples R China	Gao, JC (reprint author), Chongqing Univ, Coll Mat Sci & Engn, Chongqing 400044, Peoples R China.	Science and Technology Planned Project of Sichuan Province, China [2012GZX0089, 201201502]	1	1002-185X	2015	WOS:000355789200003
Liu, Zemin; Ding, Lifen; Chen, Zhiwu; Wu, Qing E.	JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE	Fuzzy Signal Processing; Denoising; Matching and Recognition; Wavelet Transform	[Liu, Zemin] Panzhihua Univ, Coll Math & Comp Sci, Chengdu 617000, Peoples R China; [Ding, Lifen; Chen, Zhiwu; Wu, Qing E.] Zhengzhou Univ Light Ind, Coll Elect & Informat Engn, Zhengzhou 450002, Peoples R China	Wu, QE (reprint author), Zhengzhou Univ Light Ind, Coll Elect & Informat Engn, Zhengzhou 450002, Peoples R China.	Project of Henan Province Science and Technology [142300410247]; Henan Province Education Department [14A413002, 12A520049, 14A413010]; China postdoctoral science foundation [2013M531120]; National natural science fund co-proposal [60933003]; Project of Zhengzhou Science and Technology [131PPTGG411-4]; ZZULI [Chinare2014-04-07, 2013XJJ013]	0	1546-1955	2015	WOS:000355574900004
Luo, Minggang; Li, Liping; Qian, Guobing; Liao, Hongshu	JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS	signal detection; MIMO; higher order statistics; correlated noise	[Luo, Minggang] Panzhihua Univ, Sch Math & Comp Sci, Panzhihua, Peoples R China; [Luo, Minggang; Li, Liping; Qian, Guobing; Liao, Hongshu] Univ Elect Sci & Technol China, Sch Elect Engn, Chengdu 610054, Peoples R China	Luo, MG (reprint author), Panzhihua Univ, Sch Math & Comp Sci, Panzhihua, Peoples R China.		0	0253-3839	2015	WOS:000351667300005
Liu, Changgeng; Zhang, Panyue; Zeng, Chenghua; Zeng, Guangming; Xu, Guoyin; Huang, Yi	JOURNAL OF ENVIRONMENTAL SCIENCES	Sewage sludge; Bioleaching; Fenton oxidation; Dewaterabilty	[Liu, Changgeng; Zeng, Chenghua; Xu, Guoyin; Huang, Yi] Panzhihua Univ, Sch Resources & Environm Engn, Panzhihua 617000, Peoples R China; [Liu, Changgeng; Zhang, Panyue; Zeng, Guangming] Hunan Univ, Minist Educ, Key Lab Environm Biol & Pollut Control, Changsha 410082, Hunan, Peoples R China; [Liu, Changgeng; Zhang, Panyue; Zeng, Guangming] Hunan Univ, Coll Environm Sci & Engn, Changsha 410082, Hunan, Peoples R China	Zhang, PY (reprint author), Hunan Univ, Minist Educ, Key Lab Environm Biol & Pollut Control, Changsha 410082, Hunan, Peoples R China.	National Natural Science Foundation of China, Furong Scholar of Hunan Province [51178047]	4	1001-0742	2015	WOS:000350780900006
Wang, Bing; Zeng, Yong; Cheng, Jun	NEUROCOMPUTING	Continuous time; Neural networks; Linear matrix inequality; Lyapunov-Krasovskii function	[Wang, Bing] Panzhihua Univ, Sch Informat & Elect Engn, Panzhihua 617000, Sichuan, Peoples R China; [Zeng, Yong; Cheng, Jun] Univ Elect Sci & Technol China, Sch Automat Engn, Chengdu 611731, Sichuan, Peoples R China	Wang, B (reprint author), Panzhihua Univ, Sch Informat & Elect Engn, Panzhihua 617000, Sichuan, Peoples R China.	National Basic Research Program of China [2010CB732501]; Fund of Sichuan Provincial Key Laboratory of Signal and Information Processing, Xihua University [SZJJ2009-002, SGXZD0101-10-1]; CSC [201306070065];  [YBXSZC20131006]	6	0925-2312	2015	WOS:000343337600030
Wu, Hao; Liu, Wenjing; Ma, Guangqiang; Huang, Sisi; Wang, Fu; Ding, Li; Zhang, Yun	INTEGRATED FERROELECTRICS	Cathode materials; Li1.03Mn2O4; solid-state reaction; cycling performance	[Wu, Hao; Liu, Wenjing; Huang, Sisi; Wang, Fu; Ding, Li; Zhang, Yun] Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610064, Peoples R China; [Ma, Guangqiang] Panzhihua Univ, Coll Biol & Chem Engn, Panzhihua 617000, Peoples R China	Zhang, Y (reprint author), Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610064, Peoples R China.	Sichuan Province Key Technology Support Program [2011GZ0131]	1	1058-4587	2015	WOS:000371295300004
Ma, Guangqiang; Zhang, Yun; Li, Tinglong	INTEGRATED FERROELECTRICS	TiO2 nanotubes; photocatalysed performances; hydrothermal method; HCl	[Ma, Guangqiang] Panzhihua Univ, Coll Biol & Chem Engn, Panzhihua 617000, Peoples R China; [Zhang, Yun; Li, Tinglong] Sichuan Univ, Coll Mat Sci & Engn, Chengdu 610064, Peoples R China	Ma, GQ (reprint author), Panzhihua Univ, Coll Biol & Chem Engn, Panzhihua 617000, Peoples R China.	Innovation Fund for Technology Based Firm from Ministry of Science and Technology [11C26215103354]	0	1058-4587	2015	WOS:000371292600016
Liu, S.; Zhu, K.; Xiang, J.; Huang, P.	BULGARIAN CHEMICAL COMMUNICATIONS	Oxidation; Leaching; Ilmenite; Synthetic rutile; Hydrochloric acid	[Liu, S.; Zhu, K.; Xiang, J.; Huang, P.] Panzhihua Univ, Resources & Environm Engn Coll, Panzhihua 617000, Sichuan Provinc, Peoples R China; [Liu, S.] Kunming Met Res Inst, Kunming 650031, Yunnan Province, Peoples R China; [Liu, S.; Xiang, J.; Huang, P.] Xihua Univ, Mat Sci & Engn Coll, Chengdu 610039, Sichuan Provinc, Peoples R China	Liu, S (reprint author), Panzhihua Univ, Resources & Environm Engn Coll, Panzhihua 617000, Sichuan Provinc, Peoples R China.		1	0324-1130	2015	WOS:000367652100024
