AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Tang, Xiaorong; Feng, Hui; Du, Quan; Wang, Ling	ASIAN JOURNAL OF CHEMISTRY	Antifungal activity; 2-(4-Chlorophenylcarbamoyl)phenyl acetate; Synthesis	[Tang, Xiaorong; Du, Quan; Wang, Ling] Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China; [Feng, Hui] Xihua Univ, Sch Bioengn, Chengdu 610039, Peoples R China	Tang, XR (reprint author), Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [09ZA113]; Key Scientific Research Fund of Xihua University [Z0913302]; Organic Chemistry Key Discipline of Xihua University	0	0970-7077	2013	WOS:000325103300046
Wang, Qi; Sun, Weiguo; Fan, Qunchao	SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY	Spectral line; Emission spectrum; Rovibrational transition; NbN	[Wang, Qi; Sun, Weiguo] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China; [Sun, Weiguo; Fan, Qunchao] Xihua Univ, Sch Phys & Chem, Res Ctr Adv Computat, Chengdu 610039, Peoples R China	Sun, WG (reprint author), Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China.	National Natural Science Foundation of China [11074204, 11204244]; Youth Foundation of the Department of Science and Technology [2012JQ0055]; Education Department of Sichuan Province [12ZA165]; Research Fund of Key Disciplines of Atomic and Molecular Physics; Key Laboratory of Advanced Scientific Computation, Xihua University, People's Republic of China	3	1386-1425	2013	WOS:000323396800008
Fan, Qunchao; Hu, Shi; Sun, Weiguo; Wang, Qi	SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY	Analytical formulae; VN; Emission spectroscopy	[Fan, Qunchao; Sun, Weiguo] Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China; [Hu, Shi; Sun, Weiguo; Wang, Qi] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Peoples R China	Sun, WG (reprint author), Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China.	National Natural Science Foundation of China [11074204, 11204244]; Science Foundation of the Chinese Educational Ministry [20100181110085]; Youth Foundation of the Department of Sichuan Science and Technology [2012JQ0055]	1	1386-1425	2013	WOS:000323396800050
Li, Huidong; Feng, Hao; Sun, Weiguo; Fan, Qunchao; Xie, Yaoming; King, R. Bruce; Schaefer, Henry F., III	ORGANOMETALLICS		[Li, Huidong; Feng, Hao; Sun, Weiguo; Fan, Qunchao] Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China; [Sun, Weiguo] Sichuan Univ, Inst Atom & Mol Phys, Chengdu 610065, Sichuan, Peoples R China; [Xie, Yaoming; King, R. Bruce; Schaefer, Henry F., III] Univ Georgia, Dept Chem, Athens, GA 30602 USA; [Xie, Yaoming; King, R. Bruce; Schaefer, Henry F., III] Univ Georgia, Ctr Computat Chem, Athens, GA 30602 USA	Feng, H (reprint author), Xihua Univ, Res Ctr Adv Computat, Sch Phys & Chem, Chengdu 610039, Peoples R China.	Program for New Century Excellent Talents in University in China [NCET-10-0949]; Chinese National Natural Science Foundation [11174236, 11074204]; U.S. National Science Foundation [CHE-1057466, CHE-1054286]	0	0276-7333	2013	WOS:000330144900026
Ma, Sude; Wang, Yan; Min, Zhonghua; Zhong, Lisheng	ADVANCES IN POLYMER TECHNOLOGY	Dielectric properties; Low-k; Macroporous polymer; Methods; Nanostructure	[Ma, Sude; Wang, Yan; Min, Zhonghua] Xihua Univ, Ctr Adv Mat & Energies, Chengdu 610039, Sichuan, Peoples R China; [Ma, Sude] Xihua Univ, Key Lab Special Mat Preparat & Control, Chengdu 610039, Sichuan, Peoples R China; [Ma, Sude; Zhong, Lisheng] Xi An Jiao Tong Univ, State Key Lab Elect Insulat & Power Equipment, Xian 710049, Peoples R China	Ma, SD (reprint author), Xihua Univ, Ctr Adv Mat & Energies, Chengdu 610039, Sichuan, Peoples R China.	State Key Laboratory of Electrical Insulation and Power Equipment [EIPE12206]; Chunhui Project from Education Ministry of China [Z2011078]; Open Research Fund of Key Laboratory of Special Materials Preparation and Control, Xihua University [SZJJ2012-017]; Specialized Research Project of the Education Department of Sichuan Province [12ZB130]; Key Discipline Project of Xihua University [L2XW418-13-0]	8	0730-6679	2013	WOS:000330188300010
Zhang, Yan; Chen, Shaoling; Wang, Ling; Tang, Xiaorong	ASIAN JOURNAL OF CHEMISTRY	Antifungal activity; 2-(4-Bromophenyl carbamoyl)phenyl acetate; Synthesis	[Zhang, Yan; Chen, Shaoling; Wang, Ling; Tang, Xiaorong] Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China	Tang, XR (reprint author), Xihua Univ, Sch Phys & Chem, Chengdu 610039, Peoples R China.	Scientific Research Fund of Sichuan Provincial Education Department [12233450]; Key Scientific Research Fund of Xihua University [Z0913307]; Organic Chemistry Key Discipline of Xihua University	0	0970-7077	2013	WOS:000325088800015
Luo, Ting; Wei, Xiaowei; Luo, Song; Li, Hangxing; Li, Wei	ASIAN JOURNAL OF CHEMISTRY	Additive; Surface modification; Al2O3 nanoparticles; Lubricants	[Luo, Ting; Wei, Xiaowei; Luo, Song; Li, Hangxing] Xihua Univ, Sch Mat Sci & Engn, Chengdu 610039, Peoples R China; [Li, Wei] Jinan Huanghe Rd & Bridge Engn Co, Jinan 250032, Peoples R China	Luo, T (reprint author), Xihua Univ, Sch Mat Sci & Engn, Chengdu 610039, Peoples R China.		1	0970-7077	2013	WOS:000325088800064
Zhang, Liang; Li, Zhiqiang; Dai, Bing; Zhang, Wenxue; Yuan, Yongjun	ACTA BIOLOGICA HUNGARICA	Monascus; pigment; mycotoxin; submerged fermentation; solid-state fermentation	[Zhang, Liang; Li, Zhiqiang; Dai, Bing; Yuan, Yongjun] Xihua Univ, Coll Bioengn, Key Lab Food Biotechnol Sichuan Prov, Chengdu 610039, Peoples R China; [Zhang, Liang] Sichuan Jiannanchun Grp Co Ltd, Mianzhu 618200, Sichuan, Peoples R China; [Zhang, Wenxue] Sichuan Univ, Dept Food Sci & Engn, Chengdu 610065, Peoples R China	Yuan, YJ (reprint author), Xihua Univ, Coll Bioengn, Key Lab Food Biotechnol Sichuan Prov, Chengdu 610039, Peoples R China.	Ministry of Education of China; Key R&D Program Fund of Xihua University [Z1120538]; Applied basic research program of science and technology commission foundation of Sichuan province; Applied basic research program of Department of education of Sichuan Province	4	0236-5383	2013	WOS:000324246000011
Deng Xingqiao; Wang Jinge; Horstemeyer, Mark F.	CHINESE JOURNAL OF MECHANICAL ENGINEERING	worm gears; tooth contact analysis; machining and misalignment errors; tooth profile errors; modification method	[Deng Xingqiao; Wang Jinge] Xihua Univ, Sch Mech Engn & Automat, Chengdu 610039, Peoples R China; [Horstemeyer, Mark F.] Mississippi State Univ, Ctr Adv Vehicular Syst, Mississippi State, MS 39726 USA	Wang, JG (reprint author), Xihua Univ, Sch Mech Engn & Automat, Chengdu 610039, Peoples R China.	National Natural Science Foundation of China [50775190, 51275425]; Spring Sunshine Plan of Ministry of Education of China [10202258]; Talent Introduction of Xihua University, China [Z1220217]	3	1000-9345	2013	WOS:000324077300012
Ma, Sude; Zhao, Pei; Guo, Yan; Zhong, Lisheng; Wang, Yan	FUEL	Polycarboxylate additive; Coal water slurry; Synthesis; Characterization; Application	[Ma, Sude; Wang, Yan] Xihua Univ, Ctr Adv Mat & Energy, Chengdu 610039, Sichuan, Peoples R China; [Ma, Sude; Zhong, Lisheng] Xi An Jiao Tong Univ, State Key Lab Elect Insulat & Power Equipment, Xian 710049, Brighton, Peoples R China; [Zhao, Pei] China Huaneng Clean Energy Res Inst, Beijing 100098, Peoples R China; [Guo, Yan] Xi An Jiao Tong Univ, Sch Energy & Power, Dept Chem Engn, Xian 710049, Brighton, Peoples R China	Ma, SD (reprint author), Xihua Univ, Ctr Adv Mat & Energy, Chengdu 610039, Sichuan, Peoples R China.	State Key Laboratory of Electrical Insulation and Power Equipment [EIPE12206]; Education Ministry of China [Z2011078]; Key Laboratory of Special Materials Preparation and Control, Xihua University [SZJJ2012-017]; Key Scientific Research Foundation of Xihua University [Z1120115]; Xihua University [L2XW418-13-0 (2013)]; Education Department of Sichuan Province [12ZB130]	9	0016-2361	2013	WOS:000321037600078
