AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Shi, Wenwu; Wu, Shiyun; Wang, Zhiguo	PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES	Density functional theory; SiCNTs; Transvers electric field; Electronic properties	[Shi, Wenwu; Wang, Zhiguo] Univ Elect Sci & Technol China, Joint Lab Police Equipment Res, Sch Phys Elect, Chengdu 610054, Peoples R China; [Wu, Shiyun] Sichuan Univ Arts & Sci, Sch Phys & Mechtron Engn, Dazhou 635000, Peoples R China	Wang, ZG (reprint author), Univ Elect Sci & Technol China, Joint Lab Police Equipment Res, Sch Phys Elect, Chengdu 610054, Peoples R China.	National Natural Science Foundation of China [11474047]	2	1386-9477	2016	WOS:000377228700030
Guo, Xiaogang; Li, Xueming; Xiong, Zhongshu; Lai, Chuan; Li, Yu; Huang, Xinyue; Bao, Hebin; Yin, Yanjun; Zhu, Yuhua; Zhang, Daixiong	JOURNAL OF NANOPARTICLE RESEARCH	Cathodic electrodeposition; Nano-Co3O4 films; Polyethylenimine; Kinetics; Supercapacitors; Energy storage	[Guo, Xiaogang; Li, Xueming; Li, Yu; Huang, Xinyue; Bao, Hebin; Yin, Yanjun; Zhu, Yuhua] Chongqing Univ, Coll Chem & Chem Engn, Chongqing 400044, Peoples R China; [Xiong, Zhongshu] Chongqing Normal Univ, Sch Foreign Languages & Literature, Chongqing 401331, Peoples R China; [Lai, Chuan] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China; [Zhang, Daixiong] Tsinghua Univ, Sch Sci, Beijing 100084, Peoples R China	Li, XM (reprint author), Chongqing Univ, Coll Chem & Chem Engn, Chongqing 400044, Peoples R China.	National Natural Science Foundation of China [61271059]; Natural Science Foundation Project of Chongqing [2010BB4246]; Science and Technology Development Project of Chongqing [CSTC2012gg-yyjs90007]; Fundamental Research Funds for the Central Universities [CDJXS12220005]; Sharing Fund of Chongqing University's Large-scale Equipment	1	1388-0764	2016	WOS:000387047700001
Su, Xiulan; Lai, Chuan; Peng, Lincai; Zhu, Hui; Zhou, Lvshan; Zhang, Lei; Liu, Xingqin; Zhang, Wei	INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE	Corrosion inhibitor; Mild steel; Sulfuric acid; O,O '-dialkyldithiophosphate	[Su, Xiulan; Lai, Chuan; Peng, Lincai; Zhu, Hui; Zhou, Lvshan; Zhang, Wei] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China; [Lai, Chuan] Sichuan Univ Sci & Engn, Mat Corros & Protect Key Lab Sichuan Prov, Zigong 643000, Peoples R China	Lai, C (reprint author), Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China.; Lai, C (reprint author), Sichuan Univ Sci & Engn, Mat Corros & Protect Key Lab Sichuan Prov, Zigong 643000, Peoples R China.	Program of Education Department of Sichuan Province [16ZA0358]; Opening Projects of Key Laboratory of Material Corrosion and Protection of Sichuan Province [2015CL09]; Projects of Sichuan University of Arts and Science [HGXZ2015002, X2015Z018, 2015TP002Z]; Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of Higher Education [LYJ1503]	3	1452-3981	2016	WOS:000378559300049
Chen, Xiaobo; Yang, Wen; Yang, Peizhi; Yuan, Junbao; Zhao, Fei	JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS		[Chen, Xiaobo; Yang, Wen; Yang, Peizhi; Yuan, Junbao; Zhao, Fei] Yunnan Normal Univ, Inst Solar Energy, Key Lab Educ Minist Adv Tech & Preparat Renewable, Kunming 650500, Peoples R China; [Chen, Xiaobo] Sichuan Univ Arts & Sci, Sch Phys & Mech Tron Engn, Dazhou 635000, Peoples R China	Yang, PZ (reprint author), Yunnan Normal Univ, Inst Solar Energy, Key Lab Educ Minist Adv Tech & Preparat Renewable, Kunming 650500, Peoples R China.	National Natural Science Foundation of China [51362031]; Specialized Research Fund for the Doctoral Program of Higher Education of China [20125303110002]; Scientific Research Foundation of Graduate School of Yunnan Normal University [yjs201581]; Scholarship Award for Excellent Doctoral Student - Yunnan Province	0	0957-4522	2016	WOS:000373742500104
Sun, Qingqiang; Yang, Tianle; Yang, Li; Fan, Kaimin; Peng, Shuming; Long, Xinggui; Zhou, Xiaosong; Zu, Xiaotao; Du, Jincheng	COMPUTATIONAL MATERIALS SCIENCE	Be(0001) surface; H-2 adsorption; H-2 dissociation; First-principles	[Sun, Qingqiang; Yang, Tianle; Yang, Li; Zu, Xiaotao] Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China; [Sun, Qingqiang] HuaiHai Inst Technol, Sch Sci, Lianyungang 222005, Peoples R China; [Fan, Kaimin] Sichuan Univ Arts & Sci, Dept Phys & Engn Technol, Dazhou 635000, Peoples R China; [Peng, Shuming; Long, Xinggui; Zhou, Xiaosong] China Acad Engn Phys, Inst Nucl Phys & Chem, Mianyang 621900, Peoples R China; [Du, Jincheng] Univ N Texas, Dept Mat Sci & Engn, Denton, TX 76203 USA	Yang, L (reprint author), Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China.	National Natural Science Foundation of China-NSAF [U1430109]	0	0927-0256	2016	WOS:000373197900031
Pan, Xianchao; Mei, Hu; Qu, Sujun; Huang, Shuheng; Sun, Jiaying; Yang, Li; Chen, Hua	INTERNATIONAL JOURNAL OF PHARMACEUTICS	P-glycoprotein; Emerging chemical pattern; Substrat e-binding site; Prediction; Hierarchical cluster analysis; Molecular docking	[Pan, Xianchao; Mei, Hu; Yang, Li] Chongqing Univ, Minist Educ, Key Lab Biorheol Sci & Technol, Chongqing 400044, Peoples R China; [Pan, Xianchao; Mei, Hu; Qu, Sujun; Huang, Shuheng; Yang, Li] Chongqing Univ, Coll Bioengn, 174 Shangzhengjie, Chongqing 400044, Peoples R China; [Sun, Jiaying] Sichuan Univ Arts & Sci, Coll Chem & Chem Engn, Dazhou 635000, Sichuan, Peoples R China; [Chen, Hua] Chongqing Univ, Coll Chem & Chem Engn, 174 Shangzhengjie, Chongqing 400044, Peoples R China	Mei, H (reprint author), Chongqing Univ, Coll Bioengn, 174 Shangzhengjie, Chongqing 400044, Peoples R China.; Chen, H (reprint author), Chongqing Univ, Coll Chem & Chem Engn, 174 Shangzhengjie, Chongqing 400044, Peoples R China.	National Natural Science Foundation of China [21202110]; Natural Science Foundation of Chongqing [2013jcyjA10063]; "111" project of "Introducing Talents of Discipline to Universities"	2	0378-5173	2016	WOS:000372814700007
Luo, Feihua; Yang, Jun; Li, Zhengkai; Xiang, Haifeng; Zhou, Xiangge	ADVANCED SYNTHESIS & CATALYSIS	arylation; benzoxazoles; catalysis; C-H activation; directing group	[Luo, Feihua; Yang, Jun; Li, Zhengkai; Xiang, Haifeng; Zhou, Xiangge] Sichuan Univ, Coll Chem, Inst Homogeneous Catalysis, Chengdu 610064, Peoples R China; [Luo, Feihua] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China	Li, ZK; Zhou, XG (reprint author), Sichuan Univ, Coll Chem, Inst Homogeneous Catalysis, Chengdu 610064, Peoples R China.	Natural Science Foundation of China [21272161, 21372163, 21472128, J1103315, J1310008]; Ministry of Education [20120181110050]; major project of Sichuan Provincial Education Department [12A282]	2	1615-4150	2016	WOS:000373159200006
Yuan Jun-bao; Yang Wen; Chen Xiao-bo; Yang Pei-zhi; Song Zhao-ning	SPECTROSCOPY AND SPECTRAL ANALYSIS	PECVD; Deposition pressure; Deposition rate; Optical band gap; Structure factor	[Yuan Jun-bao; Yang Wen; Chen Xiao-bo; Yang Pei-zhi] Yunnan Normal Univ, Key Lab, Educ Minist Adv Tech & Preparat Renewable Energy, Kunming 650092, Peoples R China; [Chen Xiao-bo] Sichuan Univ Arts & Sci, Sch Phys & Mech Tron Engn, Dazhou 635000, Peoples R China; [Song Zhao-ning] Univ Toledo, Dept Phys & Astron, Toledo, OH 43606 USA	Yang, PZ (reprint author), Yunnan Normal Univ, Key Lab, Educ Minist Adv Tech & Preparat Renewable Energy, Kunming 650092, Peoples R China.		0	1000-0593	2016	WOS:000370208400005
Lai, Chuan; Guo, Xiaogang; Xiong, Zhongshu; Liu, Changlu; Zhu, Hui; Wu, Mei; Zhang, Daixiong	JOURNAL OF COLLOID AND INTERFACE SCIENCE	3D-porous nickel films; Metal ions; Adsorption; Kinetic; Isotherm; Thermodynamic	[Lai, Chuan; Liu, Changlu; Zhu, Hui; Wu, Mei] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China; [Guo, Xiaogang] Chongqing Univ, Coll Chem & Chem Engn, Chongqing 400044, Peoples R China; [Xiong, Zhongshu] Chongqing Normal Univ, Sch Foreign Languages & Literature, Chongqing 401331, Peoples R China; [Zhang, Daixiong] Tsinghua Univ, Coll Sci, Beijing 100084, Peoples R China	Lai, C (reprint author), Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China.	Opening Project of Key Laboratory of Green Catalysis of Sichuan Institutes of Higher Education [LYJ1503]; Opening Project of Material Corrosion and Protection Key Laboratory of Sichuan Province [2015CL09]	0	0021-9797	2016	WOS:000366961400020
Zhu, Hua; Xu, Xuetao; Zhong, Xin	POLISH JOURNAL OF ENVIRONMENTAL STUDIES	graphene oxide; adsorption; Co(II); humic acid	[Zhu, Hua; Zhong, Xin] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China; [Xu, Xuetao] Wuyi Unicers, Sch Chem & Environm Engn, Jiangmen 529020, Peoples R China	Zhu, H (reprint author), Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Peoples R China.		0	1230-1485	2016	WOS:000388734500045
Xiang, Wenjun; Zhu, Zhaoju; Song, Xianyu; Zhong, Cheng; Wang, Chengjie; Ma, Yongzhang	RSC ADVANCES		[Xiang, Wenjun; Zhu, Zhaoju] Sichuan Univ Arts & Sci, Sch Chem & Chem Engn, Dazhou 635000, Sichuan, Peoples R China; [Song, Xianyu; Zhong, Cheng] Dazhou Vocat & Technial Coll, Dept Mech & Elect Engn, Dazhou 635000, Sichuan, Peoples R China; [Wang, Chengjie] Southwest Petr Univ, Sch Chem & Chem Engn, Chengdu 610500, Sichuan, Peoples R China; [Ma, Yongzhang] Sichuan Prov Acad Ind Environm Monitoring, Chengdu 610500, Peoples R China	Song, XY (reprint author), Dazhou Vocat & Technial Coll, Dept Mech & Elect Engn, Dazhou 635000, Sichuan, Peoples R China.	scientific research fund of Sichuan Provincial Education Department [13ZB0100, 15ZA0317, 15ZA0363]; Dazhou Administration of Science Technology [KJJ201403]	1	2046-2069	2016	WOS:000387621700038
