AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Zhong, Suchuan; Wei, Kun; Gao, Shilong; Ma, Hong	JOURNAL OF STATISTICAL PHYSICS	Stochastic resonance; Fractional oscillator; Random mass; Trichotomous noise	[Zhong, Suchuan] Sichuan Univ, Coll Aeronaut & Astronaut, Chengdu 610065, Peoples R China; [Wei, Kun] Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 611731, Peoples R China; [Gao, Shilong] Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614000, Peoples R China; [Ma, Hong] Sichuan Univ, Coll Math, Chengdu 610065, Peoples R China	Zhong, SC (reprint author), Sichuan Univ, Coll Aeronaut & Astronaut, Chengdu 610065, Peoples R China.	Key Program of National Natural Science Foundation of China [11171238]; Young Teacher Fund of Sichuan Uninversity, China [2082604174031]	7	0022-4715	2015	WOS:000351295100011
Tang, Guoyu; Xia, Yunqing; Cambria, Erik; Jin, Peng; Zheng, Thomas Fang	INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE	Word sense; cross-lingual document representation; cross-lingual document clustering	[Tang, Guoyu; Xia, Yunqing; Zheng, Thomas Fang] Tsinghua Univ, TNList, Dept Comp Sci & Technol, Beijing 100084, Peoples R China; [Cambria, Erik] Nanyang Technol Univ, Sch Comp Engn, Singapore 639798, Singapore; [Jin, Peng] Leshan Normal Univ, Sch Comp Sci, Leshan 614000, Peoples R China	Xia, YQ (reprint author), Tsinghua Univ, TNList, Dept Comp Sci & Technol, Beijing 100084, Peoples R China.	National Science Foundation of China (NSFC) [61272233]	1	0218-0014	2015	WOS:000350755900011
Li, Wu; Duan, Zhengli; Zhang, Xueye; Zhang, Heng; Wang, Mengfan; Jiang, Ru; Zeng, Hongyao; Liu, Chao; Lei, Aiwen	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	C-H activation; carbonylation; heterocycles; oxidation; palladium	[Li, Wu; Duan, Zhengli; Zhang, Xueye; Zhang, Heng; Wang, Mengfan; Jiang, Ru; Liu, Chao; Lei, Aiwen] Wuhan Univ, Coll Chem & Mol Sci, Wuhan 430072, Hubei, Peoples R China; [Lei, Aiwen] Chinese Acad Sci, Lanzhou Inst Chem Phys, State Key Lab Oxo Synth & Select Oxidat, Lanzhou 730000, Peoples R China; [Zeng, Hongyao] Leshan Normal Univ, Coll Chem, Leshan 614000, Sichuan, Peoples R China	Lei, AW (reprint author), Wuhan Univ, Coll Chem & Mol Sci, Wuhan 430072, Hubei, Peoples R China.	973 Program [2011CB808600, 2012CB725302]; National Natural Science Foundation of China [21390400, 21025206, 21272180, 21302148]; Research Fund for the Doctoral Program of Higher Education of China [20120141130002]; Program for Changjiang Scholars and Innovative Research Team in University [IRT1030]; Program of Introducing Talents of Discipline to Universities of China (111Program)	39	1433-7851	2015	WOS:000349209200040
Wu, Xiaohong; Wu, Bin; Sun, Jun; Li, Min	INTERNATIONAL JOURNAL OF FOOD ENGINEERING	NIR spectroscopy; linear discriminant analysis; orthogonal linear discriminant analysis; fuzzy clustering	[Wu, Bin] ChuZhou Vocat Technol Coll, Dept Informat Engn, Chuzhou, Peoples R China; [Wu, Xiaohong; Sun, Jun] Jiangsu Univ, Sch Elect & Informat Engn, Zhengzhou, Peoples R China; [Li, Min] Leshan Normal Univ, Coll Phys & Elect Engn, Leshan, Peoples R China	Wu, XH (reprint author), Jiangsu Univ, Sch Elect & Informat Engn, Zhengzhou, Peoples R China.	priority academic program development of Jiangsu Higher Education Institutions; National Science Foundation of China [31471413]; Nature Science Foundation of Anhui provincial colleges [KJ2012Z302]; Anhui provincial college foundation for young talent [2012SQRL251]; key project of Education Department of Sichuan Province [12ZA070]; China Postdoctoral Science Foundation funded project [20090460078]	0	2194-5764	2015	WOS:000349386100003
Yao, Gang; Tang, Yunqin; Fu, Yajun; Jiang, Zhongqian; An, Xinyou; Chen, Yu; Liu, Yiding	APPLIED SURFACE SCIENCE	ZnO band gap engineering; ZnO/ZnCdO heterojunction; Density functional theory; Pulsed laser deposition	[Yao, Gang; Fu, Yajun; Jiang, Zhongqian] Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang 621010, Peoples R China; [Yao, Gang; Tang, Yunqin; Liu, Yiding] Leshan Normal Univ, Coll Phys & Elect Engn, Leshan 614004, Peoples R China; [An, Xinyou] China West Normal Univ, Dept Phys & Elect Informat, Nanchong 637002, Peoples R China; [Chen, Yu] Inner Mongolia Univ Technol, Coll Sci, Hohhot 010051, Peoples R China	Yao, G (reprint author), Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang 621010, Peoples R China.		5	0169-4332	2015	WOS:000347105600036
Chang, Shan; He, Hong-qiu; Kong, Ren; Xie, Zhen-jian; Hu, Jian-ping	JOURNAL OF CHEMISTRY		[Chang, Shan; Kong, Ren] Jiangsu Univ Technol, Sch Elect & Informat Engn, Inst Bioinformat & Med Engn, Changzhou 213001, Peoples R China; [He, Hong-qiu] Chongqing High Tech Ind Dev Zone, Chongqing 400039, Peoples R China; [Xie, Zhen-jian; Hu, Jian-ping] Chengdu Univ, Fac Biotechnol Ind, Chengdu 610106, Peoples R China; [Hu, Jian-ping] Leshan Normal Univ, Coll Chem, Leshan 614004, Peoples R China	Hu, JP (reprint author), Chengdu Univ, Fac Biotechnol Ind, Chengdu 610106, Peoples R China.	National Natural Science Foundation of China [31200990, 81202438, 11247018]; Key Project of Sichuan Provincial Education Bureau [12ZA066]; Leshan Science and Technology Project [14GZD022]; supercomputer resources at Jiangsu University of Technology	0	2090-9063	2015	WOS:000365914700001
Hu, Xiaolan; Lin, Song; Tang, Qiong	FRESENIUS ENVIRONMENTAL BULLETIN	Bunker oil; biodesulfurization; ultrasound pre-treatment; surfactants; organic solvents	[Hu, Xiaolan; Tang, Qiong] Leshan Normal Univ, Dept Chem, Leshan 614004, Peoples R China; [Lin, Song] Powerchina Guiyang Engn Corp, Guiyang 550081, Peoples R China; [Tang, Qiong] Nanyang Technol Univ, Inst Environm Sci & Engn, Singapore 637723, Singapore	Tang, Q (reprint author), Leshan Normal Univ, Dept Chem, Leshan 614004, Peoples R China.	marine & Ports Authority (MPA) of Singapore [R09-003-1]; Science and Technology Agency, Sichuan province [2013JY0128]; Key Project Fund of Science; Leshan normal University, Leshan, China	0	1018-4619	2015	WOS:000363072100002
Xiao, Zhigang; Yao, Jiang; Yin, Shaoquan	INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION		[Xiao, Zhigang; Yao, Jiang; Yin, Shaoquan] Leshan Normal Univ, Phys & Elect Commun Dept, Leshan 614004, Sichuan, Peoples R China	Xiao, ZG (reprint author), Leshan Normal Univ, Phys & Elect Commun Dept, Leshan 614004, Sichuan, Peoples R China.	Major Project of Education Department in Sichuan Foundation [11ZA157]	0	1687-5869	2015	WOS:000363163800001
Xiao, Xiao; Zhang, Zhiyou; Xie, Shiwei; Liu, Yu; Hu, Dejiao; Du, Jinglei	OPTICA APPLICATA	organic solar cells; hybrid microlens; light harvesting; achromatization	[Xiao, Xiao; Zhang, Zhiyou; Xie, Shiwei; Liu, Yu; Hu, Dejiao; Du, Jinglei] Sichuan Univ, Coll Phys Sci & Technol, Chengdu 610064, Peoples R China; [Xiao, Xiao] Leshan Normal Univ, Coll Phys & Elect Engn, Leshan 614000, Peoples R China; [Xiao, Xiao; Zhang, Zhiyou; Xie, Shiwei; Liu, Yu; Hu, Dejiao; Du, Jinglei] Sichuan Univ, Minist Educ, Key Lab High Energy Dens Phys & Technol, Chengdu 610064, Peoples R China	Du, JL (reprint author), Sichuan Univ, Coll Phys Sci & Technol, Chengdu 610064, Peoples R China.	Nation Natural Science Foundations [11305111, 61377050, 61307039]; International Cooperation and Exchange of Science and Technology Project in Sichuan Province [2013HH0010]; Collaborative Innovation Foundation [XTCX 2013002]; Natural Science Foundations of Leshan Normal University	2	0078-5466	2015	WOS:000355962900009
Fan, Lei; Wang, Yuping; Liu, Xiyang; Jia, Liping	MATHEMATICAL PROBLEMS IN ENGINEERING		[Fan, Lei; Liu, Xiyang] Xidian Univ, Inst Software Engn, Sch Software, Xian 710071, Peoples R China; [Wang, Yuping] Xidian Univ, Sch Comp Sci & Technol, Xian 710071, Peoples R China; [Jia, Liping] Leshan Normal Univ, Coll Math & Informat Sci, Leshan 614000, Peoples R China	Fan, L (reprint author), Xidian Univ, Inst Software Engn, Sch Software, Xian 710071, Peoples R China.	Fundamental Research Funds for Central Universities [JB141004]; National Natural Science Foundations of China [61272119, 61472311]; Leshan Normal University [Z1402]	0	1024-123X	2015	WOS:000354683300001
