AF	SO	DE	C1	RP	FU	TC	SN	PY	UT
Cheng WenBin; Gu XueXiang; Tang JuXing; Wang LiQiang; Lv PengRui; Zhong KangHui; Liu XiaoJi; Gao YiMing	ACTA PETROLOGICA SINICA	Lead isotope; Sources of ore-forming material; Zonation of ore forming elements; Gangdese-Nyainqentanglha metallogenic belt	[Cheng WenBin; Gu XueXiang; Wang LiQiang; Lv PengRui; Liu XiaoJi] China Univ Geosci, State Key Lab Geol Proc & Mineral Reources, Beijing 100083, Peoples R China; [Tang JuXing; Gao YiMing] Chinese Acad Geol Sci, Inst Mineral Resources, Beijing 100037, Peoples R China; [Zhong KangHui] Chengdu Univ Technol, Coll Earth Sci, Chengdu 610059, Peoples R China	Cheng, WB (reprint author), China Univ Geosci, State Key Lab Geol Proc & Mineral Reources, Beijing 100083, Peoples R China.		4	1000-0569	2010	WOS:000285033000016
Densmore, Alexander L.; Li, Yong; Richardson, Nicholas J.; Zhou, Rongjun; Ellis, Michael; Zhang, Yi	BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA		[Densmore, Alexander L.] Univ Durham, Inst Hazard & Risk Res, Durham DH1 3LE, England; [Densmore, Alexander L.] Univ Durham, Dept Geog, Durham DH1 3LE, England; [Li, Yong; Zhang, Yi] Chengdu Univ Technol, Natl Key Lab Oil & Gas Reservoir Geol & Exploitat, Chengdu 610059, Sichuan Prov, Peoples R China; [Richardson, Nicholas J.] Maersk Oil, Aberdeen AB12 3LG, Scotland; [Zhou, Rongjun] Sichuan Earthquake Adm, Chengdu 610059, Sichuan Prov, Peoples R China; [Ellis, Michael] British Geol Survey, Nottingham NG12 5GG, England	Densmore, AL (reprint author), Univ Durham, Inst Hazard & Risk Res, South Rd, Durham DH1 3LE, England.	Natural Environment Research Council [NE/G002665/1]; National Natural Science Foundation of China [40841010]; Shell UK Ltd.	22	0037-1106	2010	WOS:000283120600024
Wang Xi-Wen; Liu Wen-Qing; Wang Yu-Chao; Lu Bin; Gao Jian-Hu; Zhang Xiao-Mei; Wang Qing-Hui; Hu Zi-Duo	CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION	Common reflection angle gather; Migration imaging; Velocity model; AVA analysis	[Wang Xi-Wen; Liu Wen-Qing; Wang Yu-Chao; Lu Bin; Gao Jian-Hu; Zhang Xiao-Mei; Wang Qing-Hui; Hu Zi-Duo] Petrochina, Res Inst Petr Explorat & Dev NW, Lanzhou 730020, Peoples R China; [Liu Wen-Qing] Chengdu Univ Technol, State Key Lab Oil & Gas Reservoir Geol & Exploita, Chengdu 610059, Peoples R China	Wang, XW (reprint author), Petrochina, Res Inst Petr Explorat & Dev NW, Lanzhou 730020, Peoples R China.		3	0001-5733	2010	WOS:000284983300021
Zhou, K.; Li, J.; Zheng, D. S.	JOURNAL OF MOLECULAR STRUCTURE	Rifapentine; Crystal structure; Characterization; Crystallization	[Li, J.; Zheng, D. S.] Sichuan Univ, Coll Chem Engn, Chengdu 610065, Peoples R China; [Zhou, K.] Chengdu Univ Technol, Coll Mat & Chem Engn & Chem, Chengdu 610059, Sichuan, Peoples R China	Li, J (reprint author), Sichuan Univ, Coll Chem Engn, Chengdu 610065, Peoples R China.		3	0022-2860	2010	WOS:000284441400005
Zhu, Laimin; Guo, Laodong; Gao, Ziyou; Yin, Guan; Lee, Ben; Wang, Fei; Xu, Jiang	MARINE POLLUTION BULLETIN	Lead; Pb isotope ratio; Marine sediments; South China Sea	[Zhu, Laimin; Lee, Ben; Wang, Fei] NW Univ Xian, Dept Geol, State Key Lab Continental Dynam, Xian 710069, Peoples R China; [Guo, Laodong] Univ So Mississippi, Dept Marine Sci, Stennis Space Ctr, MS 39529 USA; [Gao, Ziyou; Yin, Guan] Chengdu Univ Technol, Coll Geol Sci, Chengdu 610059, Peoples R China; [Xu, Jiang] State Oceanog Adm, Inst Oceanog 3, Xiamen 361005, Peoples R China	Zhu, LM (reprint author), NW Univ Xian, Dept Geol, State Key Lab Continental Dynam, Xian 710069, Peoples R China.	National Natural Science Foundation of China [40872071, 40060005]; National Basic Research Program of China [2006CB403502]; State Key Laboratory of Continental Dynamics, Northwest University [BJ091349]; State Key Laboratory of Environmental Geochemistry [SKLEG5001]	14	0025-326X	2010	WOS:000284662800038
Tong, D. G.; Luo, F. L.; Chu, W.; Li, Y. L.; Wu, P.	MATERIALS CHEMISTRY AND PHYSICS	Rhodium-doping; Lithium iron phosphate; Cathode material; Lithium ion batteries	[Tong, D. G.; Luo, F. L.; Li, Y. L.; Wu, P.] Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China; [Chu, W.] Sichuan Univ, Coll Chem Engn, Lab 230, Chengdu 610065, Peoples R China	Tong, DG (reprint author), Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China.	Chengdu University of Technology [2007-YG2, 2008-071]; Natural Science Foundation of Sichuan Province [07ZA004]	14	0254-0584	2010	WOS:000282607900001
Xu Yi; Li ZhiWei; Huang RunQiu; Liu JianHua; Liu JinSong	SCIENCE CHINA-EARTH SCIENCES	western Sichuan; Longmen Mountain; Pn velocity; anisotropy; Wenchuan earthquake	[Xu Yi; Li ZhiWei; Liu JianHua; Liu JinSong] Chinese Acad Sci, Inst Geol & Geophys, Key Lab Petr Resources Res, Beijing 100029, Peoples R China; [Huang RunQiu] Chengdu Univ Technol, State Key Lab Geohazard Prevent & Geoenvironm, Chengdu 610059, Peoples R China	Xu, Y (reprint author), Chinese Acad Sci, Inst Geol & Geophys, Key Lab Petr Resources Res, Beijing 100029, Peoples R China.	State Key Laboratory of Geohazard Prevention and Geoenvironment Protection, Chengdu University of Technology [DZKJ-0803]	4	1674-7313	2010	WOS:000298361500005
He, Binbin; Chen, Cuihua; Liu, Yue	GISCIENCE & REMOTE SENSING		[He, Binbin] Univ Elect Sci & Technol China, Inst Geospatial Informat Sci & Technol, Chengdu 610054, Peoples R China; [Chen, Cuihua; Liu, Yue] Chengdu Univ Technol, Coll Geosci, Chengdu 610059, Peoples R China	He, BB (reprint author), Univ Elect Sci & Technol China, Inst Geospatial Informat Sci & Technol, Chengdu 610054, Peoples R China.	National High-Tech R&D Program of China [2007AA12Z227]; National Natural Science Foundation of China [40701146]	3	1548-1603	2010	WOS:000285536500005
Zhang, Jiang; Chen, Huafu; Fang, Fang; Liu, Hualin; Liao, Wei	BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS	Functional magnetic resonance imaging (fMRI); Brain functional activation; Frequency entropy information (FEI); Receiver operating characteristic (ROC) curve	[Zhang, Jiang; Chen, Huafu; Liao, Wei] Univ Elect Sci & Technol China, Sch Life Sci & Technol, Chengdu 610054, Peoples R China; [Fang, Fang] Chengdu Univ Technol, Coll Appl Nucl Technol & Automat Engn, Chengdu 610059, Peoples R China; [Liu, Hualin] Fire Control Technol Ctr China S Ind Grp Co, Chengdu 611731, Peoples R China	Chen, HF (reprint author), Univ Elect Sci & Technol China, Sch Life Sci & Technol, Chengdu 610054, Peoples R China.	Natural Science Foundation of China [90820006, 30770590]	0	1016-2372	2010	WOS:000283494000004
He Binbin; Chen Cuihua; Liu Yue	CHINESE GEOGRAPHICAL SCIENCE	weights-of-evidence model; mineral resources potential assessment; eastern Kunlun Mountains; spatial analysis; conditional independence	[He Binbin] Univ Elect Sci & Technol China, Inst Geospatial Informat Sci & Technol, Chengdu 610054, Peoples R China; [Chen Cuihua; Liu Yue] Chengdu Univ Technol, Coll Geosci, Chengdu 610059, Peoples R China	He, BB (reprint author), Univ Elect Sci & Technol China, Inst Geospatial Informat Sci & Technol, Chengdu 610054, Peoples R China.	National High-tech R&D Program of China [2007AA12Z227]; National Natural Science Foundation of China [40701146]	6	1002-0063	2010	WOS:000281901300010
Guo, Yafei; Yin, Hongjun; Wu, Xianghua; Deng, Tianlong	JOURNAL OF CHEMICAL AND ENGINEERING DATA		[Guo, Yafei; Yin, Hongjun; Wu, Xianghua; Deng, Tianlong] Chengdu Univ Technol, Coll Mat Chem & Chem Engn, Chengdu 610059, Peoples R China; [Guo, Yafei; Deng, Tianlong] Tianjin Univ Sci & Technol, Coll Marine Sci & Engn, Tianjin Key Lab Marine Resources & Chem, Tianjin 300457, Peoples R China; [Deng, Tianlong] Chinese Acad Sci, Qinghai Inst Salt Lakes, ACS Key Lab Salt Lake Resources & Chem, Xining 810008, Peoples R China; [Yin, Hongjun; Wu, Xianghua] SINOPEC, Inst Petr Geochem Explorat, Explorat & Prod Res Inst, Hefei 230022, Peoples R China	Deng, TL (reprint author), Chengdu Univ Technol, Coll Mat Chem & Chem Engn, Chengdu 610059, Peoples R China.	National Natural Science Foundation of China [20836009, 40773045]; Tianjin Government [20100405]	7	0021-9568	2010	WOS:000282848400014
Qiu, Kehui; Li, Junfu; Li, Junfeng; Lu, Xueguang; Gong, Yingchun; Li, Junhan	JOURNAL OF MATERIALS SCIENCE		[Qiu, Kehui; Li, Junfu; Li, Junfeng; Lu, Xueguang; Gong, Yingchun; Li, Junhan] Chengdu Univ Technol, Inst Mat Sci & Technol, Chengdu 610059, Sichuan, Peoples R China	Qiu, KH (reprint author), Chengdu Univ Technol, Inst Mat Sci & Technol, Chengdu 610059, Sichuan, Peoples R China.	Key Scientific and Technological Research and Development Program [07GG002-002]; The Natural Science Foundation [08GY0082]; Nature Science Foundation of the Panzhihua City in Sichuan Province, P.R. China [2009CY-C-4]	11	0022-2461	2010	WOS:000280959200002
Tong, D. G.; Luo, Y. Y.; Chu, W.; Hu, J. Y.; Wu, P.	PLASMA CHEMISTRY AND PLASMA PROCESSING	Plasma treatment; Co-B amorphous alloy; NaBH4; H-2	[Tong, D. G.; Wu, P.] Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China; [Luo, Y. Y.] Chinese Acad Trop Agr, Inst Farm Prod Proc, Zhanjiang 524001, Peoples R China; [Chu, W.; Hu, J. Y.] Sichuan Univ, Coll Chem Engn, Lab 230, Chengdu 610065, Peoples R China	Tong, DG (reprint author), Chengdu Univ Technol, Coll Mat & Chem & Chem Engn, Chengdu 610059, Peoples R China.	CDUT [2007-YG2, HZ0033]; Natural Science Foundation of Sichuan Province [07ZA004]	8	0272-4324	2010	WOS:000281987100010
Li Zhe; Tuo Xian-guo; Yang Jian-bo; Liu Chun-lai; Huang Lian-mei	SPECTROSCOPY AND SPECTRAL ANALYSIS	XRF; Lachance-Trail algorithm; Matrix effect; Correct equation	[Li Zhe; Tuo Xian-guo; Yang Jian-bo; Liu Chun-lai; Huang Lian-mei] Chengdu Univ Technol, Appl Nucl Tech Geosci Key Lab Sichuan Proviance, Chengdu 610059, Peoples R China; [Li Zhe; Tuo Xian-guo] Chengdu Univ Technol, Key Lab Earth Explorat & Informat Technol, Minist Educ, Chengdu 610059, Peoples R China	Li, Z (reprint author), Chengdu Univ Technol, Appl Nucl Tech Geosci Key Lab Sichuan Proviance, Chengdu 610059, Peoples R China.		3	1000-0593	2010	WOS:000283267900057
